Product,Description,Price,Barcode,Photo file
HONEY BUN,Duchess - yellow wrapper,$1.50,070953704508,honeybun.png
HONEY BUN FROSTED,"Duchess - iced, blue wrapper",$1.50,070953703051,honeybun_frosted.png
KIT KAT,Milk chocolate - 1.5 oz,$1.50,034000002467,kitkat2.png
TWIX,Caramel cookie - 1.79 oz,$1.50,040000004356,twix.png
SKITTLES ORIGINAL,Chewy candy - 2.17 oz,$1.50,040000001607,skittles2.png
STARBURST,Original fruit chews - 2.07 oz,$1.50,040000011514,starburst2.png
AIRHEADS XTREMES,Rainbow berry sour belts - 2 oz,$1.50,073390008383,airheads2.png
JIMMY DEAN CROISSANT,"Sausage, egg & cheese - 12 ct",$2.00,077900002663,jd_croissant2.png
JIMMY DEAN PANCAKE,Pancake & sausage on a stick - 20 ct,$2.00,077900002700,jd_pancake.png
JIMMY DEAN GRIDDLE,Sweet maple griddle cake - 12 ct,$2.00,077900002670,jd_maple2.png
QUAKER OATMEAL,Instant oatmeal - flavor variety,$1.00,030000561959,QUAKER_OATMEAL.jpg
COCA-COLA,Original taste - 12 oz can,$1.00,049000006346,coke2.png
PEPSI,Cola - 12 oz can,$1.00,012000000133,pepsi2.png
CANADA DRY,Ginger ale - 12 oz can,$1.00,078000001143,gingerale2.png
DR PEPPER,Soda - 12 oz can,$1.00,078000003154,drpepper.png
SPRITE,Lemon-lime - 12 oz can,$1.00,049000001327,sprite.png
7UP,Lemon-lime - 12 oz can,$1.00,,sevenup.png
FAYGO TWIST,Lemon-lime soda - 12 oz can,$1.00,073800000846,FAYGO_TWIST.jpg
FAYGO ORANGE,Orange soda - 12 oz can,$1.00,073800000761,FAYGO_ORANGE.jpg
FAYGO GRAPE,Grape soda - 12 oz can,$1.00,073800000778,FAYGO_GRAPE.jpg
FAYGO RED POP,Strawberry soda - 12 oz can,$1.00,073800000785,FAYGO_RED_POP.jpg
GATORADE COOL BLUE,Thirst quencher - 20 fl oz,$1.00,052000102871,GATORADE_COOL_BLUE.jpg
GATORADE FRUIT PUNCH,Fierce fruit punch + berry - 12 fl oz,$1.00,052000104783,GATORADE_FRUIT_PUNCH.jpg
GATORADE BLUE CHERRY,Fierce blue cherry - 12 fl oz,$1.00,052000104776,GATORADE_BLUE_CHERRY.jpg
LIPTON GREEN TEA,Citrus - 20 fl oz,$1.00,012000019258,LIPTON_GREEN_TEA.jpg
SI BLACK RASPBERRY,"Sparkling Ice - zero sugar, 17 fl oz",$1.00,016571910303,SI_BLACK_RASPBERRY.jpg
SI ORANGE MANGO,"Sparkling Ice - zero sugar, 17 fl oz",$1.00,016571910310,SI_ORANGE_MANGO.jpg
SI COCONUT PINEAPPLE,"Sparkling Ice - zero sugar, 17 fl oz",$1.00,016571940331,SI_COCONUT_PINEAPPLE.jpg
SI KIWI STRAWBERRY,"Sparkling Ice - zero sugar, 17 fl oz",$1.00,016571910327,SI_KIWI_STRAWBERRY.jpg
MM BLACK RASPBERRY,Member's Mark sparkling water - 17 fl oz,$1.00,,MM_BLACK_RASPBERRY.jpg
MM STRAWBERRY LEMONADE,Member's Mark sparkling water - 17 fl oz,$1.00,193968284664,MM_STRAWBERRY_LEMONADE.jpg
MM WATERMELON LIME,Member's Mark sparkling water - 17 fl oz,$1.00,193968296681,MM_WATERMELON_LIME.jpg
PURE LIFE WATER,Purified water - bottle,$1.00,068274000065,purelife2.png
SWISS MISS,Hot cocoa mix - 8 envelopes,$1.00,070920476537,swissmiss.png
